"","date","disapprove_starmer","candidates","approve_starmer","candidates.1","Disapprove"
"1","2024-07-12",32.88,"approve_starmer",60.52,"approve_starmer",32.88
"2","2024-07-13",33.1,"approve_starmer",59.98,"approve_starmer",33.1
"3","2024-07-14",33.33,"approve_starmer",59.43,"approve_starmer",33.33
"4","2024-07-15",33.55,"approve_starmer",58.89,"approve_starmer",33.55
"5","2024-07-16",33.77,"approve_starmer",58.35,"approve_starmer",33.77
"6","2024-07-17",34,"approve_starmer",57.8,"approve_starmer",34
"7","2024-07-18",34.22,"approve_starmer",57.26,"approve_starmer",34.22
"8","2024-07-19",34.44,"approve_starmer",56.71,"approve_starmer",34.44
"9","2024-07-20",34.66,"approve_starmer",55.78,"approve_starmer",34.66
"10","2024-07-21",34.88,"approve_starmer",54.85,"approve_starmer",34.88
"11","2024-07-22",35.11,"approve_starmer",53.92,"approve_starmer",35.11
"12","2024-07-23",35.33,"approve_starmer",52.99,"approve_starmer",35.33
"13","2024-07-24",35.55,"approve_starmer",52.06,"approve_starmer",35.55
"14","2024-07-25",35.77,"approve_starmer",51.13,"approve_starmer",35.77
"15","2024-07-26",35.99,"approve_starmer",50.2,"approve_starmer",35.99
"16","2024-07-27",36.21,"approve_starmer",49.27,"approve_starmer",36.21
"17","2024-07-28",36.43,"approve_starmer",48.33,"approve_starmer",36.43
"18","2024-07-29",36.66,"approve_starmer",47.4,"approve_starmer",36.66
"19","2024-07-30",36.88,"approve_starmer",46.47,"approve_starmer",36.88
"20","2024-07-31",37.1,"approve_starmer",45.54,"approve_starmer",37.1
"21","2024-08-01",37.32,"approve_starmer",44.61,"approve_starmer",37.32
"22","2024-08-02",37.54,"approve_starmer",43.68,"approve_starmer",37.54
"23","2024-08-03",38.02,"approve_starmer",43.13,"approve_starmer",38.02
"24","2024-08-04",38.5,"approve_starmer",42.59,"approve_starmer",38.5
"25","2024-08-05",38.98,"approve_starmer",42.04,"approve_starmer",38.98
"26","2024-08-06",39.45,"approve_starmer",41.5,"approve_starmer",39.45
"27","2024-08-07",39.93,"approve_starmer",40.95,"approve_starmer",39.93
"28","2024-08-08",40.41,"approve_starmer",40.4,"approve_starmer",40.41
"29","2024-08-09",40.84,"approve_starmer",40.1,"approve_starmer",40.84
"30","2024-08-10",41.27,"approve_starmer",39.8,"approve_starmer",41.27
"31","2024-08-11",41.7,"approve_starmer",39.5,"approve_starmer",41.7
"32","2024-08-12",42.13,"approve_starmer",39.2,"approve_starmer",42.13
"33","2024-08-13",42.56,"approve_starmer",38.9,"approve_starmer",42.56
"34","2024-08-14",42.99,"approve_starmer",38.6,"approve_starmer",42.99
"35","2024-08-15",43.42,"approve_starmer",38.3,"approve_starmer",43.42
"36","2024-08-16",43.85,"approve_starmer",37.99,"approve_starmer",43.85
"37","2024-08-17",44.53,"approve_starmer",37.97,"approve_starmer",44.53
"38","2024-08-18",45.2,"approve_starmer",37.94,"approve_starmer",45.2
"39","2024-08-19",45.88,"approve_starmer",37.91,"approve_starmer",45.88
"40","2024-08-20",46.55,"approve_starmer",37.88,"approve_starmer",46.55
"41","2024-08-21",47.23,"approve_starmer",37.85,"approve_starmer",47.23
"42","2024-08-22",47.91,"approve_starmer",37.82,"approve_starmer",47.91
"43","2024-08-23",48.58,"approve_starmer",37.79,"approve_starmer",48.58
"44","2024-08-24",49.26,"approve_starmer",37.76,"approve_starmer",49.26
"45","2024-08-25",49.93,"approve_starmer",37.73,"approve_starmer",49.93
"46","2024-08-26",50.61,"approve_starmer",37.7,"approve_starmer",50.61
"47","2024-08-27",51.28,"approve_starmer",37.68,"approve_starmer",51.28
"48","2024-08-28",51.96,"approve_starmer",37.65,"approve_starmer",51.96
"49","2024-08-29",52.63,"approve_starmer",37.62,"approve_starmer",52.63
"50","2024-08-30",53.31,"approve_starmer",37.59,"approve_starmer",53.31
"51","2024-08-31",53.8,"approve_starmer",37.39,"approve_starmer",53.8
"52","2024-09-01",54.28,"approve_starmer",37.19,"approve_starmer",54.28
"53","2024-09-02",54.77,"approve_starmer",36.99,"approve_starmer",54.77
"54","2024-09-03",55.26,"approve_starmer",36.8,"approve_starmer",55.26
"55","2024-09-04",55.74,"approve_starmer",36.6,"approve_starmer",55.74
"56","2024-09-05",56.23,"approve_starmer",36.4,"approve_starmer",56.23
"57","2024-09-06",56.72,"approve_starmer",36.2,"approve_starmer",56.72
"58","2024-09-07",57.2,"approve_starmer",36,"approve_starmer",57.2
"59","2024-09-08",57.69,"approve_starmer",35.81,"approve_starmer",57.69
"60","2024-09-09",58.18,"approve_starmer",35.61,"approve_starmer",58.18
"61","2024-09-10",58.66,"approve_starmer",35.41,"approve_starmer",58.66
"62","2024-09-11",59.15,"approve_starmer",35.21,"approve_starmer",59.15
"63","2024-09-12",59.64,"approve_starmer",35.01,"approve_starmer",59.64
"64","2024-09-13",60.12,"approve_starmer",34.81,"approve_starmer",60.12
"65","2024-09-14",60.61,"approve_starmer",34.62,"approve_starmer",60.61
"66","2024-09-15",61.1,"approve_starmer",34.42,"approve_starmer",61.1
"67","2024-09-16",61.59,"approve_starmer",34.22,"approve_starmer",61.59
"68","2024-09-17",62.07,"approve_starmer",34.02,"approve_starmer",62.07
"69","2024-09-18",62.56,"approve_starmer",33.82,"approve_starmer",62.56
"70","2024-09-19",63.05,"approve_starmer",33.63,"approve_starmer",63.05
"71","2024-09-20",63.53,"approve_starmer",33.43,"approve_starmer",63.53
"72","2024-09-21",63.84,"approve_starmer",33.27,"approve_starmer",63.84
"73","2024-09-22",64.14,"approve_starmer",33.12,"approve_starmer",64.14
"74","2024-09-23",64.45,"approve_starmer",32.97,"approve_starmer",64.45
"75","2024-09-24",64.75,"approve_starmer",32.82,"approve_starmer",64.75
"76","2024-09-25",65.05,"approve_starmer",32.66,"approve_starmer",65.05
"77","2024-09-26",65.36,"approve_starmer",32.51,"approve_starmer",65.36
"78","2024-09-27",65.66,"approve_starmer",32.36,"approve_starmer",65.66
"79","2024-09-28",65.78,"approve_starmer",32.3,"approve_starmer",65.78
"80","2024-09-29",65.89,"approve_starmer",32.25,"approve_starmer",65.89
"81","2024-09-30",66,"approve_starmer",32.19,"approve_starmer",66
"82","2024-10-01",66.11,"approve_starmer",32.14,"approve_starmer",66.11
"83","2024-10-02",66.23,"approve_starmer",32.08,"approve_starmer",66.23
"84","2024-10-03",66.34,"approve_starmer",32.03,"approve_starmer",66.34
"85","2024-10-04",66.45,"approve_starmer",31.97,"approve_starmer",66.45
"86","2024-10-05",66.57,"approve_starmer",31.92,"approve_starmer",66.57
"87","2024-10-06",66.68,"approve_starmer",31.86,"approve_starmer",66.68
"88","2024-10-07",66.79,"approve_starmer",31.81,"approve_starmer",66.79
"89","2024-10-08",66.91,"approve_starmer",31.75,"approve_starmer",66.91
"90","2024-10-09",67.02,"approve_starmer",31.7,"approve_starmer",67.02
"91","2024-10-10",67.13,"approve_starmer",31.64,"approve_starmer",67.13
"92","2024-10-11",67.25,"approve_starmer",31.59,"approve_starmer",67.25
"93","2024-10-12",67.36,"approve_starmer",31.54,"approve_starmer",67.36
"94","2024-10-13",67.47,"approve_starmer",31.48,"approve_starmer",67.47
"95","2024-10-14",67.59,"approve_starmer",31.43,"approve_starmer",67.59
"96","2024-10-15",67.7,"approve_starmer",31.37,"approve_starmer",67.7
"97","2024-10-16",67.81,"approve_starmer",31.32,"approve_starmer",67.81
"98","2024-10-17",67.93,"approve_starmer",31.26,"approve_starmer",67.93
"99","2024-10-18",68.04,"approve_starmer",31.21,"approve_starmer",68.04
"100","2024-10-19",67.98,"approve_starmer",31.29,"approve_starmer",67.98
"101","2024-10-20",67.91,"approve_starmer",31.38,"approve_starmer",67.91
"102","2024-10-21",67.85,"approve_starmer",31.46,"approve_starmer",67.85
"103","2024-10-22",67.79,"approve_starmer",31.55,"approve_starmer",67.79
"104","2024-10-23",67.72,"approve_starmer",31.63,"approve_starmer",67.72
"105","2024-10-24",67.66,"approve_starmer",31.72,"approve_starmer",67.66
"106","2024-10-25",67.6,"approve_starmer",31.8,"approve_starmer",67.6
"107","2024-10-26",67.53,"approve_starmer",31.88,"approve_starmer",67.53
"108","2024-10-27",67.47,"approve_starmer",31.97,"approve_starmer",67.47
"109","2024-10-28",67.4,"approve_starmer",32.05,"approve_starmer",67.4
"110","2024-10-29",67.34,"approve_starmer",32.14,"approve_starmer",67.34
"111","2024-10-30",67.28,"approve_starmer",32.22,"approve_starmer",67.28
"112","2024-10-31",67.21,"approve_starmer",32.31,"approve_starmer",67.21
