"","entities","values","years","name","code","date","dateCorrected","TimePeriod"
"171959",355,867121,4389,"World","OWID_WRL",1982-01-07,2012-01-07,"All"
"171960",355,749174,4396,"World","OWID_WRL",1982-01-14,2012-01-14,"All"
"171961",355,3750598,4403,"World","OWID_WRL",1982-01-21,2012-01-21,"All"
"171962",355,8109548,4410,"World","OWID_WRL",1982-01-28,2012-01-28,"All"
"171963",355,6890614,4417,"World","OWID_WRL",1982-02-04,2012-02-04,"All"
"171964",355,6493641,4424,"World","OWID_WRL",1982-02-11,2012-02-11,"All"
"171965",355,4970814,4431,"World","OWID_WRL",1982-02-18,2012-02-18,"All"
"171966",355,5990184,4438,"World","OWID_WRL",1982-02-25,2012-02-25,"All"
"171967",355,5678574,4445,"World","OWID_WRL",1982-03-04,2012-03-03,"All"
"171968",355,5287480,4452,"World","OWID_WRL",1982-03-11,2012-03-10,"All"
"171969",355,8090277,4459,"World","OWID_WRL",1982-03-18,2012-03-17,"All"
"171970",355,6613437,4466,"World","OWID_WRL",1982-03-25,2012-03-24,"All"
"171971",355,5836973,4473,"World","OWID_WRL",1982-04-01,2012-03-31,"All"
"171972",355,5346687,4480,"World","OWID_WRL",1982-04-08,2012-04-07,"All"
"171973",355,5820543,4487,"World","OWID_WRL",1982-04-15,2012-04-14,"All"
"171974",355,6832863,4494,"World","OWID_WRL",1982-04-22,2012-04-21,"All"
"171975",355,5580634,4501,"World","OWID_WRL",1982-04-29,2012-04-28,"All"
"171976",355,6056270,4508,"World","OWID_WRL",1982-05-06,2012-05-05,"All"
"171977",355,5116680,4515,"World","OWID_WRL",1982-05-13,2012-05-12,"All"
"171978",355,5176149,4522,"World","OWID_WRL",1982-05-20,2012-05-19,"All"
"171979",355,6077762,4529,"World","OWID_WRL",1982-05-27,2012-05-26,"All"
"171980",355,6433096,4536,"World","OWID_WRL",1982-06-03,2012-06-02,"All"
"171981",355,8524403,4543,"World","OWID_WRL",1982-06-10,2012-06-09,"All"
"171982",355,11833822,4550,"World","OWID_WRL",1982-06-17,2012-06-16,"All"
"171983",355,7500238,4557,"World","OWID_WRL",1982-06-24,2012-06-23,"All"
"171984",355,9290438,4564,"World","OWID_WRL",1982-07-01,2012-06-30,"All"
"171985",355,9364326,4571,"World","OWID_WRL",1982-07-08,2012-07-07,"All"
"171986",355,10201517,4578,"World","OWID_WRL",1982-07-15,2012-07-14,"All"
"171987",355,13142972,4585,"World","OWID_WRL",1982-07-22,2012-07-21,"All"
"171988",355,13346237,4592,"World","OWID_WRL",1982-07-29,2012-07-28,"All"
"171989",355,13984890,4599,"World","OWID_WRL",1982-08-05,2012-08-04,"All"
"171990",355,13284253,4606,"World","OWID_WRL",1982-08-12,2012-08-11,"All"
"171991",355,13488697,4613,"World","OWID_WRL",1982-08-19,2012-08-18,"All"
"171992",355,15158181,4620,"World","OWID_WRL",1982-08-26,2012-08-25,"All"
"171993",355,14288885,4627,"World","OWID_WRL",1982-09-02,2012-09-01,"All"
"171994",355,18064076,4634,"World","OWID_WRL",1982-09-09,2012-09-08,"All"
"171995",355,13970738,4641,"World","OWID_WRL",1982-09-16,2012-09-15,"All"
"171996",355,12057102,4648,"World","OWID_WRL",1982-09-23,2012-09-22,"All"
"171997",355,10762335,4655,"World","OWID_WRL",1982-09-30,2012-09-29,"All"
"171998",355,9926645,4662,"World","OWID_WRL",1982-10-07,2012-10-06,"All"
"171999",355,8040106,4669,"World","OWID_WRL",1982-10-14,2012-10-13,"All"
"172000",355,9562003,4676,"World","OWID_WRL",1982-10-21,2012-10-20,"All"
"172001",355,8695201,4683,"World","OWID_WRL",1982-10-28,2012-10-27,"All"
"172002",355,7051884,4690,"World","OWID_WRL",1982-11-04,2012-11-03,"All"
"172003",355,6669870,4697,"World","OWID_WRL",1982-11-11,2012-11-10,"All"
"172004",355,7064705,4704,"World","OWID_WRL",1982-11-18,2012-11-17,"All"
"172005",355,7868853,4711,"World","OWID_WRL",1982-11-25,2012-11-24,"All"
"172006",355,7570411,4718,"World","OWID_WRL",1982-12-02,2012-12-01,"All"
"172007",355,6848421,4725,"World","OWID_WRL",1982-12-09,2012-12-08,"All"
"172008",355,9113690,4732,"World","OWID_WRL",1982-12-16,2012-12-15,"All"
"172009",355,9349586,4739,"World","OWID_WRL",1982-12-23,2012-12-22,"All"
"172010",355,9877144,4746,"World","OWID_WRL",1982-12-30,2012-12-29,"All"
