"","date","parties","value","size","name","firm","date_from","sample_size"
"1","2021-05-21","Con",43.41,1,"line Con","","",""
"2","2021-05-21","Lab",32.25,1,"line Lab","","",""
"3","2021-05-21","LibDem",8.52,1,"line LibDem","","",""
"4","2021-05-21","UKIP",1.47,1,"line UKIP","","",""
"5","2021-05-21","Green",5.71,1,"line Green","","",""
"6","2021-05-21","SNP",4.36,1,"line SNP","","",""
"7","2021-05-21","PLPW",1,1,"line PLPW","","",""
"8","2021-05-21","BP",2.11,1,"line BP","","",""
"9","2021-05-21","ChUK",NA,1,"line ChUK","","",""
"10","2021-05-22","Con",43.38,1,"line Con","","",""
"11","2021-05-22","Lab",32.38,1,"line Lab","","",""
"12","2021-05-22","LibDem",8.56,1,"line LibDem","","",""
"13","2021-05-22","UKIP",1.41,1,"line UKIP","","",""
"14","2021-05-22","Green",5.48,1,"line Green","","",""
"15","2021-05-22","SNP",4.3,1,"line SNP","","",""
"16","2021-05-22","PLPW",1,1,"line PLPW","","",""
"17","2021-05-22","BP",2.15,1,"line BP","","",""
"18","2021-05-22","ChUK",NA,1,"line ChUK","","",""
"19","2021-05-23","Con",43.34,1,"line Con","","",""
"20","2021-05-23","Lab",32.5,1,"line Lab","","",""
"21","2021-05-23","LibDem",8.6,1,"line LibDem","","",""
"22","2021-05-23","UKIP",1.35,1,"line UKIP","","",""
"23","2021-05-23","Green",5.24,1,"line Green","","",""
"24","2021-05-23","SNP",4.23,1,"line SNP","","",""
"25","2021-05-23","PLPW",1,1,"line PLPW","","",""
"26","2021-05-23","BP",2.19,1,"line BP","","",""
"27","2021-05-23","ChUK",NA,1,"line ChUK","","",""
"28","2021-05-24","Con",43.32,1,"line Con","","",""
"29","2021-05-24","Lab",32.56,1,"line Lab","","",""
"30","2021-05-24","LibDem",8.58,1,"line LibDem","","",""
"31","2021-05-24","UKIP",1.3,1,"line UKIP","","",""
"32","2021-05-24","Green",5.34,1,"line Green","","",""
"33","2021-05-24","SNP",4.23,1,"line SNP","","",""
"34","2021-05-24","PLPW",1,1,"line PLPW","","",""
"35","2021-05-24","BP",2.34,1,"line BP","","",""
"36","2021-05-24","ChUK",NA,1,"line ChUK","","",""
"37","2021-05-25","Con",43.31,1,"line Con","","",""
"38","2021-05-25","Lab",32.59,1,"line Lab","","",""
"39","2021-05-25","LibDem",8.41,1,"line LibDem","","",""
"40","2021-05-25","UKIP",1.24,1,"line UKIP","","",""
"41","2021-05-25","Green",5.51,1,"line Green","","",""
"42","2021-05-25","SNP",4.3,1,"line SNP","","",""
"43","2021-05-25","PLPW",1,1,"line PLPW","","",""
"44","2021-05-25","BP",2.26,1,"line BP","","",""
"45","2021-05-25","ChUK",NA,1,"line ChUK","","",""
"46","2021-05-26","Con",43.3,1,"line Con","","",""
"47","2021-05-26","Lab",32.63,1,"line Lab","","",""
"48","2021-05-26","LibDem",8.24,1,"line LibDem","","",""
"49","2021-05-26","UKIP",1.18,1,"line UKIP","","",""
"50","2021-05-26","Green",5.68,1,"line Green","","",""
"51","2021-05-26","SNP",4.36,1,"line SNP","","",""
"52","2021-05-26","PLPW",1,1,"line PLPW","","",""
"53","2021-05-26","BP",2.18,1,"line BP","","",""
"54","2021-05-26","ChUK",NA,1,"line ChUK","","",""
"55","2021-05-27","Con",43.27,1,"line Con","","",""
"56","2021-05-27","Lab",32.65,1,"line Lab","","",""
"57","2021-05-27","LibDem",8.09,1,"line LibDem","","",""
"58","2021-05-27","UKIP",1.12,1,"line UKIP","","",""
"59","2021-05-27","Green",5.82,1,"line Green","","",""
"60","2021-05-27","SNP",4.48,1,"line SNP","","",""
"61","2021-05-27","PLPW",1,1,"line PLPW","","",""
"62","2021-05-27","BP",2.1,1,"line BP","","",""
"63","2021-05-27","ChUK",NA,1,"line ChUK","","",""
